p_img,p_tab,e_img,e_tab,label
0.6016097093702724,0.9610332748120967,0.9700011832959705,0.23753443910990768,1
0.38400525561890275,0.1395930371973094,0.9608217586401842,0.583172019686637,0
0.39532750710176745,0.5359111900521782,0.9681516558403254,0.9962757560394332,0
0.3440849451316606,0.18475100381895912,0.9286741792687556,0.6903609034594382,0
0.6221509310582265,0.10666347870252584,0.9565087111472899,0.48976923902760905,0
0.34890580867864657,0.04958842720047039,0.9330870517067456,0.28464604654837405,0
0.3460420449675491,0.3479920111185319,0.9304835074734601,0.9322619551388913,0
0.6024421616389086,0.050502607704311905,0.9695040832806616,0.28852817405782394,0
0.620287173835709,0.9609172032529174,0.9578389477835878,0.23807092627743326,1
0.4105948493403995,0.06458343739624199,0.9768117638043257,0.34537693520408874,0
0.6474703125644933,0.6483505847029538,0.936307012500409,0.9355325030573689,1
0.6487333028031337,0.9597168895111804,0.93519423865679,0.24358873779521334,1
0.6488026840330741,0.692245543582182,0.9351328169574361,0.8905643364882008,0
0.6423993355434656,0.05338220750730007,0.9406735194847183,0.30059419870950654,0
0.641197499890364,0.9609115587737924,0.9416846826958927,0.23809700206692813,1
0.6369439318624593,0.9609120315473684,0.9451907502214746,0.23809481804269636,1
0.6485971912677224,0.9603010329418475,0.9353146467134421,0.2409102579039065,1
0.4880285938266663,0.07475054864816126,0.9995864420554903,0.38340676230685444,0
0.3492977744656377,0.9610557284545709,0.9334393443773428,0.23743059765119942,1
0.6363059571728754,0.9610375851548348,0.9457068618086854,0.23751450655569598,1
0.459848788095502,0.04948308841936006,0.9953433932432444,0.284197083141219,0
0.4174783664109592,0.05029795787849478,0.98026082247056,0.2876613148957031,0
0.4149846541559275,0.9610656843845006,0.9790438629251019,0.2373845482002665,1
0.3966240415360896,0.3330157792910953,0.9689414976309779,0.9179779526253138,0
0.3610097806284017,0.8168150634375185,0.9435181918204211,0.6869951503817735,0
0.34660249065803156,0.3876818779908522,0.9309971360598959,0.9632872774348451,1
0.45196697899919247,0.916198361401591,0.9933326340244668,0.4154348528981108,1
0.6129881596619443,0.9609575293080321,0.962844084663314,0.2378845964598561,1
0.41786521433470236,0.9607975397181638,0.9804463016696296,0.23862347388304922,1
0.4384034314287948,0.8629177109229652,0.9890245734548375,0.576546286143523,1
0.473242454807204,0.049521464011364716,0.9979331709762769,0.2843606827583163,0
0.5341389250884954,0.05337050147958125,0.9966345576445275,0.3005456360395098,0
0.6517172051947526,0.550086239518795,0.9325250885264564,0.9927494654000595,1
0.6240906750848048,0.9436849660514897,0.9551016000180879,0.3126398726702515,0
0.4423093824454362,0.07280833901827205,0.9903754016544618,0.3763174906004339,0
0.6350996822373173,0.9609054253496344,0.9466757865918733,0.23812533524752633,1
0.4069256889344817,0.9607767074661568,0.9748579697405606,0.2387196109232464,1
0.3891125264601246,0.049623923423067935,0.9642244418616877,0.28479725810889933,0
0.6427949924050096,0.9609324433350088,0.9403386499260626,0.2380005155852171,1
0.5493418832883795,0.1722161498024266,0.9929637209056026,0.6627493691095901,0
0.606626742437725,0.2680324344685004,0.966941963236531,0.838627113478249,0
0.6461411215228594,0.9593971911038272,0.9374672248638999,0.24504925178248035,1
0.39894837691006374,0.07982696972859508,0.9703321094655061,0.40156921369301546,0
